protein	acc	hit	species	domain	phylum	category	length	score	align_length	num_prots	prot_ids	protein_locs
AAB85541.1	GCA_000008645.1_ASM864v1	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	COG0085	MAIN	603	722.5	1051	2	AAB85540.1;AAB85541.1	295.5;818.0
AAB85540.1	GCA_000008645.1_ASM864v1	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	COG0085	SECO	519	322.5	453	1	1	1
ADB87785.1	GCA_000024305.1_ASM2430v1	Sulfolobus islandicus L.D.8.5	Archaea	TACK group	COG0085	PRIMARY	1131	1070.5	1051	1	ADB87785.1	594.5
AFY30112.1	GCA_000316515.1_ASM31651v1	Cyanobium gracile PCC 6307	Bacteria	Terrabacteria group	COG0085	PRIMARY	1096	1972.4	1055	1	AFY30112.1	602.5
ARM75838.1	GCA_002116695.1_ASM211669v1	Acidianus manzaensis	Archaea	TACK group	COG0085	PRIMARY	1123	1068.3	1045	1	ARM75838.1	597.5
EMR73585.1	GCA_000349645.1_GATC	Thermoplasmatales archaeon SCGC AB-539-N05	Archaea	Euryarchaeota	COG0085	NEXT	360	486.3	349	1	1	1
EMR73660.1	GCA_000349645.1_GATC	Thermoplasmatales archaeon SCGC AB-539-N05	Archaea	Euryarchaeota	COG0085	PRIMARY	760	777.0	715	1	EMR73660.1	760.5
SDG10390.1	GCA_900102305.1_IMG-taxon_2651870125_annotated_assembly	Halorientalis regularis	Archaea	Euryarchaeota	COG0085	SECO	521	300.8	438	1	1	1
SDG10357.1	GCA_900102305.1_IMG-taxon_2651870125_annotated_assembly	Halorientalis regularis	Archaea	Euryarchaeota	COG0085	MAIN	608	666.2	1042	2	SDG10390.1;SDG10357.1	296.0;817.5
ADG91667.1	GCA_000092185.1_ASM9218v1	Thermosphaera aggregans DSM 11486	Archaea	TACK group	COG0085	PRIMARY	1163	1049.5	1046	1	ADG91667.1	598.0
AKB44671.1	GCA_000969905.1_ASM96990v1	Methanosarcina vacuolata Z-761	Archaea	Euryarchaeota	COG0085	MAIN	604	668.4	1033	2	AKB44672.1;AKB44671.1	300.5;845.0
AKB44672.1	GCA_000969905.1_ASM96990v1	Methanosarcina vacuolata Z-761	Archaea	Euryarchaeota	COG0085	SECO	531	313.5	429	1	1	1
ADL54594.1	GCA_000145255.1_ASM14525v1	Gallionella capsiferriformans ES-2	Bacteria	Proteobacteria	COG0085	PRIMARY	1359	2082.3	1054	1	ADL54594.1	590.0
AKM79746.1	GCA_001029675.1_ASM102967v1	Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1111	1705.2	1074	1	AKM79746.1	599.0
ERG93489.1	GCA_000415965.1_J07B_scf56329a_trim	Haloquadratum walsbyi J07HQW1	Archaea	Euryarchaeota	COG0085	SECO	525	295.8	446	1	1	1
ERG93487.1	GCA_000415965.1_J07B_scf56329a_trim	Haloquadratum walsbyi J07HQW1	Archaea	Euryarchaeota	COG0085	MAIN	611	668.5	1050	2	ERG93489.1;ERG93487.1	292.0;817.0
ASD29477.1	GCA_002205595.1_ASM220559v1	Ureaplasma parvum	Bacteria	Terrabacteria group	COG0085	PRIMARY	1434	1658.5	1080	1	ASD29477.1	598.0
SNV73190.1	GCA_900187285.1_51342_C02	Veillonella rodentium	Bacteria	Terrabacteria group	COG0085	PRIMARY	1435	2187.8	1135	1	SNV73190.1	621.5
AKG54082.1	GCA_001005265.1_ASM100526v1	Dehalogenimonas sp. WBC-2	Bacteria	Terrabacteria group	COG0085	PRIMARY	1251	1996.9	1072	1	AKG54082.1	602.0
AAG20694.1	GCA_000006805.1_ASM680v1	Halobacterium salinarum NRC-1	Archaea	Euryarchaeota	COG0085	SECO	523	299.4	436	1	1	1
AAG20693.1	GCA_000006805.1_ASM680v1	Halobacterium salinarum NRC-1	Archaea	Euryarchaeota	COG0085	MAIN	608	650.7	1040	2	AAG20694.1;AAG20693.1	297.0;817.0
OYR48554.1	GCA_002252895.1_ASM225289v1	Halorubrum sp. Eb13	Archaea	Euryarchaeota	COG0085	MAIN	609	642.8	1043	2	OYR48553.1;OYR48554.1	295.5;817.5
OYR48553.1	GCA_002252895.1_ASM225289v1	Halorubrum sp. Eb13	Archaea	Euryarchaeota	COG0085	SECO	521	297.5	439	1	1	1
DIHJ01000069.1_7	GCA_002420105.1_ASM242010v1	Nitrospira sp. UBA5699	Bacteria	Nitrospirae	COG0085	PRIMARY	639	1172.2	505	1	DIHJ01000069.1_7	865.5
DIHJ01000045.1_7	GCA_002420105.1_ASM242010v1	Nitrospira sp. UBA5699	Bacteria	Nitrospirae	COG0085	NEXT	687	975.6	552	1	1	1
OYT67672.1	GCA_002255105.1_ASM225510v1	Thaumarchaeota archaeon ex4484_121	Archaea	TACK group	COG0085	PRIMARY	1116	944.3	1043	1	OYT67672.1	595.5
ABX02896.1	GCA_000018565.1_ASM1856v1	Herpetosiphon aurantiacus DSM 785	Bacteria	Terrabacteria group	COG0085	PRIMARY	1217	2085.5	1063	1	ABX02896.1	598.5
PDH27518.1	GCA_002457605.1_ASM245760v1	Marine Group II euryarchaeote MED-G34	Archaea	Euryarchaeota	COG0085	PRIMARY	1237	881.8	1040	1	PDH27518.1	599.0
OLD28660.1	GCA_001918945.1_ASM191894v1	Thaumarchaeota archaeon 13_1_40CM_2_39_7	Archaea	TACK group	COG0085	PRIMARY	1115	993.0	1049	1	OLD28660.1	593.5
ACB43370.1	GCA_000019745.1_ASM1974v1	Polynucleobacter necessarius STIR1	Bacteria	Proteobacteria	COG0085	PRIMARY	1366	2046.7	1054	1	ACB43370.1	590.0
ADH62734.1	GCA_000092125.1_ASM9212v1	Meiothermus silvanus DSM 9946	Bacteria	Terrabacteria group	COG0085	PRIMARY	1125	1864.6	1056	1	ADH62734.1	599.0
KXB04184.1	GCA_001549415.1_SCGC-AAA261G05	candidate divison MSBL1 archaeon SCGC-AAA261G05	Archaea	Euryarchaeota	COG0085	PRIMARY	1099	1016.1	1045	1	KXB04184.1	596.5
AAB89366.1	GCA_000008665.1_ASM866v1	Archaeoglobus fulgidus DSM 4304	Archaea	Euryarchaeota	COG0085	PRIMARY	604	688.1	603	1	AAB89366.1	817.5
AAB89367.1	GCA_000008665.1_ASM866v1	Archaeoglobus fulgidus DSM 4304	Archaea	Euryarchaeota	COG0085	NEXT	512	340.1	450	1	1	1
ACV25072.1	GCA_000023985.1_ASM2398v1	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	COG0085	MAIN	633	700.4	1057	2	ACV25071.1;ACV25072.1	299.5;834.0
ACV25071.1	GCA_000023985.1_ASM2398v1	Methanocaldococcus fervens AG86	Archaea	Euryarchaeota	COG0085	SECO	497	326.3	441	1	1	1
OGS63536.1	GCA_001800825.1_ASM180082v1	Euryarchaeota archaeon RBG_19FT_COMBO_69_17	Archaea	Euryarchaeota	COG0085	PRIMARY	1197	957.3	1040	1	OGS63536.1	599.0
SNV32202.1	GCA_900187115.1_51699_F01	Arcobacter butzleri	Bacteria	Proteobacteria	COG0085	PRIMARY	1382	1984.7	1060	1	SNV32202.1	592.0
HG315685.1_114	GCA_000455365.1_HdjelfamassiliensisIIH2	Halopiger djelfimassiliensis	Archaea	Euryarchaeota	COG0085	MAIN	610	672.7	1050	2	HG315685.1_113;HG315685.1_114	292.0;817.5
HG315685.1_113	GCA_000455365.1_HdjelfamassiliensisIIH2	Halopiger djelfimassiliensis	Archaea	Euryarchaeota	COG0085	SECO	525	301.5	446	1	1	1
KHO55053.1	GCA_000806015.1_ASM80601v1	archaeon GW2011_AR19	Archaea	unclassified Archaea	COG0085	PRIMARY	1085	772.2	1043	1	KHO55053.1	597.5
MAGS01000088.1_21	GCA_001717005.1_ASM171700v1	Candidatus Methanomethylicus mesodigestum	Archaea	TACK group	COG0085	PRIMARY	1110	1013.2	1044	1	MAGS01000088.1_21	597.0
DHFM01000070.1_1	GCA_002400405.1_ASM240040v1	Candidatus Moranbacteria bacterium UBA4824	Bacteria	unclassified Bacteria	COG0085	NEXT	279	552.7	274	1	1	1
DHFM01000035.1_11	GCA_002400405.1_ASM240040v1	Candidatus Moranbacteria bacterium UBA4824	Bacteria	unclassified Bacteria	COG0085	PRIMARY	730	1061.8	677	1	DHFM01000035.1_11	417.5
OTF01516.1	GCA_002135045.1_ASM213504v1	Halorubrum sp. SD683	Archaea	Euryarchaeota	COG0085	SECO	521	296.8	439	1	1	1
OTF01517.1	GCA_002135045.1_ASM213504v1	Halorubrum sp. SD683	Archaea	Euryarchaeota	COG0085	MAIN	609	640.9	1043	2	OTF01516.1;OTF01517.1	295.5;817.0
BAM04604.1	GCA_000284115.1_ASM28411v1	Phycisphaera mikurensis NBRC 102666	Bacteria	PVC group	COG0085	PRIMARY	1271	1736.5	1051	1	BAM04604.1	595.5
KKF39508.1	GCA_000700025.2_ASM70002v2	Halorubrum saccharovorum	Archaea	Euryarchaeota	COG0085	SECO	521	292.1	439	1	1	1
KDS92146.1	GCA_000700025.2_ASM70002v2	Halorubrum saccharovorum	Archaea	Euryarchaeota	COG0085	MAIN	609	638.9	1043	2	KKF39508.1;KDS92146.1	295.5;817.5
ARP70635.1	GCA_000802245.2_ASM80224v2	Streptomyces pluripotens	Bacteria	Terrabacteria group	COG0085	PRIMARY	1161	2107.8	1073	1	ARP70635.1	594.5
