	domain	phylum	category	COG0085_score	PF09723.9	PF06677.11	PF04561.13	PF04565.15	PF12760.6	PF01551.21	PF07697.10	PF13240.5	PF02132.14	PF14319.5	PF02318.15	PF11181.7	PF07295.10	PF12773.6	TIGR03831	PF07282.10	TIGR04165	PF10080.8	PF08792.9	PF08772.10	TIGR02605	TIGR02386	TIGR02384	PF04563.14	TIGR02388	PF04560.19	PF09297.10	TIGR02013	qlen	PF13597.5	PF00364.21	TIGR03670	PF14803.5	PF03604.12	PF04567.16	PF00562.27	PF08271.11	PF06883.11	PF10385.8	PF13375.5	PF04566.12	PF13248.5	PF13533.5
ABP33268.1	Bacteria	Proteobacteria	BH	2059.8	0	0	86.0	108.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0	0	132.0	24.0	93.4	0	1820.0	1366	0	0	232.3	0	0	0	531.4	0	0	85.5	0	0	0	0
ABP37615.1	Bacteria	FCB group	BH	1963.4	0	0	88.3	103.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.8	0	91.3	0	1873.7	1301	0	0	269.1	0	0	0	533.8	0	0	64.2	0	0	0	0
ABP94210.1	Archaea	TACK group	BH	1046.9	0	0	132.6	85.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.7	0	104.8	0	341.8	1124	0	0	1008.2	0	0	38.7	431.6	0	0	0	0	73.6	0	0
ABQ17163.1	Bacteria	Terrabacteria group	BH	1975.1	0	0	114.9	102.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.3	0	91.4	0	1571.2	1240	0	0	255.9	0	0	0	563.5	0	0	77.9	0	0	0	0
ABQ46486.1	Bacteria	Thermotogae	BH	1845.7	0	0	33.5	98.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.6	0	90.7	0	1435.4	1263	0	0	236.3	0	0	0	510.2	0	0	83.6	0	0	0	0
ABQ87115.1	Archaea	Euryarchaeota	BH	1011.7	0	14.9	85.3	93.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.2	0	105.2	0	348.4	1117	0	0	1021.0	0	0	49.4	440.1	0	0	17.8	0	77.9	6.6	0
ABQ89670.1	Bacteria	Terrabacteria group	BH	2117.2	0	0	84.8	104.2	0	20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8	0	102.0	0	93.5	0	1713.4	1229	0	0	277.5	0	0	0	550.9	0	0	83.3	0	0	0	0
ABR30369.1	Bacteria	Thermotogae	BH	1855.6	0	0	58.5	102.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.8	0	92.3	0	1488.4	1172	0	0	253.4	0	0	0	509.1	0	0	76.2	0	0	0	0
ABR54578.1	Archaea	Euryarchaeota	BH	997.5	0	0	103.0	95.3	0	0	0	2.9	0	12.9	0	0	0	0	0	0	0	0	0	0	0	0	0	183.2	0	95.2	0	340.7	1110	0	0	989.6	12.6	0	37.5	425.6	15.8	0	12.8	0	71.2	7.5	0
ABR56373.1	Archaea	Euryarchaeota	BH	1018.2	0	0	89.8	90.7	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	182.1	0	100.2	0	343.7	1121	0	0	997.1	0	0	44.5	434.1	17.2	0	14.7	0	77.1	0	0
ABR65674.1	Archaea	Euryarchaeota	BH	1009.4	10.7	0	100.3	95.3	0	0	0	0	0	13.2	0	0	0	12.2	0	0	0	0	0	0	0	0	0	181.9	0	97.8	0	345.1	1110	0	0	997.3	11.2	0	41.9	422.4	12.7	0	14.5	0	71.5	7.7	0
ABS56448.1	Archaea	Euryarchaeota	BH	960.7	0	11.1	64.0	94.8	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0	0	167.3	0	104.9	0	325.6	1126	0	0	983.5	0	0	42.3	434.9	0	0	0	0	67.3	0	0
ABS61615.1	Bacteria	Thermotogae	BH	1792.3	0	0	52.7	100.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.8	0	91.3	0	1441.9	1182	0	0	241.8	0	0	0	488.1	0	0	63.6	0	0	0	0
ABU81833.1	Archaea	TACK group	BH	994.8	0	0	114.0	93.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.6	0	97.0	0	340.5	1132	0	0	964.5	0	0	37.0	431.1	0	13.3	0	0	76.2	0	0
ABV33044.1	Bacteria	Thermotogae	BH	1875.5	0	0	56.1	104.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.7	0	94.0	0	1509.8	1172	0	0	253.9	0	0	0	516.2	0	0	79.0	11.9	0	0	0
ABW01294.1	Archaea	TACK group	BH	1004.5	0	0	82.8	99.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.6	0	102.1	0	374.0	1131	0	0	946.9	0	0	41.8	432.7	0	0	0	0	74.3	0	0
ABX02124.1	Archaea	Euryarchaeota	BH	1007.8	10.7	0	100.9	95.3	0	0	0	0	0	13.2	0	0	0	12.2	0	0	0	0	0	0	0	0	0	181.8	0	97.3	0	345.1	1110	0	0	1001.0	11.2	0	43.0	421.6	12.7	0	15.0	0	75.8	7.7	0
ABX02896.1	Bacteria	Terrabacteria group	BH	2085.5	0	0	97.7	103.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5	0	98.9	0	91.8	0	1685.9	1217	0	0	273.8	0	0	0	540.1	0	0	78.1	0	0	0	0
ABX13936.1	Bacteria	Proteobacteria	BH	2084.8	0	0	86.0	110.3	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7	0	124.6	26.6	90.4	0	1838.0	1368	0	0	236.9	0	0	0	528.3	0	0	89.4	12.3	0	0	0
ABX31097.1	Bacteria	Thermotogae	BH	1769.1	0	0	45.4	102.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.8	0	94.4	0	1446.0	1187	0	0	239.9	0	0	0	494.1	0	0	57.3	13.8	0	0	0
ABX80797.1	Bacteria	Terrabacteria group	BH	1869.7	0	0	95.0	100.4	0	0	11.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0	0	85.9	0	1505.1	1271	0	0	294.8	0	0	0	500.1	0	0	69.8	0	0	0	0
ABY94035.1	Bacteria	Terrabacteria group	BH	2267.5	0	0	126.5	108.4	0	13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	0	93.8	0	98.9	0	1823.5	1238	0	10.3	295.3	0	0	0	577.7	0	0	103.0	14.8	0	0	11.2
ABZ83947.1	Bacteria	Terrabacteria group	BH	2236	0	0	124.7	104.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.4	0	96.6	0	1843.5	1154	0	0	261.3	0	0	0	560.2	0	0	106.4	0	0	0	0
ACA44267.1	Bacteria	Terrabacteria group	NH	10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACA46323.1	Bacteria	Terrabacteria group	BH	2207.7	0	0	108.5	108.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.2	18.3	96.7	0	1772.7	1232	0	0	283.6	0	0	0	546.3	0	0	80.7	0	0	0	0
